ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
2024-9ZLZVR,{ทางเท้า},"เขตจตุจักร,กรมทางหลวง,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.),สำนักการโยธา กทม.",คอบทางเท้าสีหลุดลอกออกหมดช่วยส่งเจ้าหน้าที่ดำเนินการปรับปรุงทาสีใหม่ให้เรียบร้อยครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-08/079c4ebeb6b78e6c968dfdbfcad525aa86fd29d5.jpg,,"100.55874,13.84923",88/9 ถนน งามวงศ์วาน ตำบลบางเขน อำเภอเมืองนนทบุรี นนทบุรี 11000 ประเทศไทย,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2024-08-31 09:34:32.747378+00,กำลังดำเนินการ,,0,2024-09-02 03:05:32.649498+00
2023-CCGUCU,{แสงสว่าง},"เขตจตุจักร,สำนักการโยธา กทม.,สำนักงานก่อสร้างและบูรณะ สำนักการโยธา (สกบ.สนย.) กทม.,ศูนย์เครื่องมือกล ส่วนก่อสร้างและบูรณะ 2 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.),Bangkok Smart Lighting (สำนักการโยธา กทม.)",ไฟฟ้าส่องสว่าง ดับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-12/5d717f572856794b66b536ca71dac6fe5bde672a.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-12/6a8c40a4159066531a0ecac3331fba35.png,"100.56794,13.82709",1821 1-2 ถ. พหลโยธิน แขวง ลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จตุจักร,จตุจักร,กรุงเทพมหานคร,2023-12-17 16:22:57.579576+00,เสร็จสิ้น,,0,2024-12-09 04:40:30.321445+00
2022-LFF9Z2,{ทางเท้า},"เขตบางพลัด,สำนักการโยธา กทม.,บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน)",ปัญหาทางเดินเท้าแถวๆ จรัญสนิทวงศ์ ซอย 68-66/3,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/8bf75fde4789d94f4eb901ad2b50cce5f6410e2a.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-04/b2d465c1167fc50434ff9f8b1ceba2bb.jpg,"100.49839,13.78676",178 Charan s.Sanitwong 66/3 แขวง บางพลัด เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,บางพลัด,บางพลัด,กรุงเทพมหานคร,2022-07-03 12:20:12.895023+00,เสร็จสิ้น,,0,2024-04-03 10:24:00.008014+00
PEYEDM,"{คลอง,สะพาน,เสียงรบกวน,ถนน}","เขตภาษีเจริญ,สน.ภาษีเจริญ,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 9 (บก.น.9)","ปัญหา: ภายในซอยดังกล่าว บริเวณห้องพักคนงานของบริษัท วิคตอรี่ เวิลด์ วิคกรุ๊ป (บริเวณห้องแรกและห้องสุดท้าย) มักมีการมั่วสุมดื่มสุราในวันเสาร์กับวันอาทิตย์ช่วงเช้ามืด และได้ยินเสียงเด็กหวีดร้องส่งเสียงดังในวันจันทร์-ศุกร์ เวลาประมาณ 15.00 น. ทำให้สร้างความเดือดร้อนรำคาญแก่ผู้ที่พักอาศัยในบริเวณใกล้เคียง ทั้งนี้ประชาชนต้องการให้เจ้าหน้าที่ลงพื้นที่ตรวจสอบในช่วงเวลาประมาณ 17.00 น. -20.00 น. เนื่องจากจะมีคนอยู่ในช่วงเวลาดังกล่าว เพื่อจะได้เข้ามาพูดคุยตักเตือน

อ้างอิงเลขที่รับแจ้ง CAWPKW เจ้าหน้าที่ตอบกลับมาเมื่อวันที่ 3 ธ.ค. 67 แจ้งว่า ดำเนินการช่วยเหลือเรียบร้อย

ผู้ร้องแจ้งว่า เมื่อเจ้าหน้าที่เข้ามาตรวจสอบผู้ก่อเหตุมักจะหยุดส่งเสียงรบกวน แต่เมื่อเจ้าหน้าที่กลับไปแล้วก็จะมีเสียงดังรบกวนเหมือนเดิม ต้องการให้เจ้าหน้าที่เข้าไปแจ้งกับเจ้าของห้องพักเพื่อให้ไปดูแลตักเตือนผู้ก่อเหตุด้วย และขอให้เจ้าหน้าที่เพิ่มมาตรการให้มากกว่านี้ เนื่องจากปัจจุบันยังเกิดปัญหาเดิมอยู่เป็นประจำตั้งแต่เวลาประมาณ 15.00 น. เป็นต้นไป
ซอย: เพชรเกษม 42 แยก 1
ถนน: เพชรเกษม
จุดสังเกต: สามารถเข้ามาได้จาก 2 ทางดังนี้
ทางเข้าที่ 1 จากแยกดังกล่าวตรงไปแล้วเลี้ยวซ้าย วิ่งตรงไปแล้วเลี้ยวขวา เมื่อลงจากสะพานสูงข้ามคลอง จะพบสี่แยกเอเชียเพรส จากนั้นผ่านบริษัท SPB ไปจนถึงห้องพักคนงานที่อยู่ภายในแนวกำแพงของบริษัท วิคตอรี่ เวิลด์ วิคกรุ๊ป

ทางเข้าที่ 2 จากซอย เพชรเกษม 48 แยก 4-7 ผ่านโรงเรียนบางจากโกมลประเสริฐ จนถึงคูคลองแล้วเลี้ยวซ้าย จะอยู่บริเวณสะพานที่ 2 (สะพานเหล็กที่มีประตู) อยู่ขวามือ ซึ่งจะพบห้องพักคนงานอยู่ข้างใน
เขต: ภาษีเจริญ
#1555",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-12/d9ad0746475896429e490f60efcad161.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-12/4fff16b5aa47df364f143f6f1a2b8955.png,"100.44525,13.72629",614 ซอย เพชรเกษม 48 แยก 4-7 แขวงบางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160 ประเทศไทย,บางด้วน,ภาษีเจริญ,จังหวัดกรุงเทพมหานคร,2024-12-04 13:13:54.094636+00,เสร็จสิ้น,,0,2024-12-07 12:03:03.579479+00
2022-CXATXU,{ความปลอดภัย},"เขตวังทองหลาง,สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200),การไฟฟ้านครหลวง เขตนวลจันทร์,การไฟฟ้านครหลวง MEA,ผอ.เขตวังทองหลาง (นายโครงการ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)","ไม้คานพาดสายสัญญาณ
ที่เสาไฟฟ้า ผุ กำลังจะหล่น
กลัวหล่นมาขณะคนหรือรถ
สัญจร จะอันตรายมากครับ
เคยติดต่อ การไฟฟ้า
แต่เขาบอกไม่ใช่ของเขา
เลยไม่รู้จะแจ้งใครครับ
พิกัด ซอยลาดพร้าว 63
แยก 8 เข้ามา 100เมตร
ฝั่งซ้ายมือ",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/3c95a7358eeed68b762e64742cf7fae09bbbd2a9.jpg,,"100.60346,13.79156",302 ซอย ลาดพร้าว 63 แยก 8 แขวง สะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310 ประเทศไทย,สะพานสอง,วังทองหลาง,กรุงเทพมหานคร,2022-06-05 15:12:33.973023+00,กำลังดำเนินการ,,0,2023-02-08 14:52:21.335918+00
2023-NDGVRV,{},"เขตบางคอแหลม,ฝ่ายโยธา เขตบางคอแหลม",ซอยเจริญราษฎร7 แยก31 เยื้องบ้าน 675 นับเสาจากปากซอย เสาที่ 3,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-10/21419caf92c7a32cadfffe67304bb3bbfe95bb11.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-10/1697948775308.jpeg,"100.51926,13.68991",675 ถ. พระรามที่ 3 แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120 ประเทศไทย,บางโคล่,บางคอแหลม,กรุงเทพมหานคร,2023-10-20 06:06:24.607204+00,เสร็จสิ้น,5.0,0,2023-10-22 04:26:17.167558+00
2023-BXCR9H,"{กีดขวาง,จราจร}","เขตสะพานสูง,สน.บางชัน,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 4 (บก.น.4)",นำเบริเออร์มาตั้งกีดขวางจุดกลับรถทำให้รถติดสิ้นเปลืองเวลาและเชื้อเพลิงมากครับ รถตีวงเลี้ยวไม่พ้นเบริเออร์ทำให้ต้องถอยตั้งลำใหม่ทำให้ติดขัดอย่างหนัก,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-09/32458125e98e66394e2736e2dc8a47ff414d495e.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-01/1704872979092.jpeg,"100.68721,13.78408",164/24-25 หมู่ที่ 3 ถนนรามคำแหง แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240 แขวงราษฎร์พัฒนา เขตสะพานสูง กรุงเทพมหานคร 10240 ประเทศไทย,ราษฎร์พัฒนา,สะพานสูง,กรุงเทพมหานคร,2023-09-26 02:51:33.928875+00,เสร็จสิ้น,,0,2024-01-10 07:49:40.28778+00
2024-AHK494,{กีดขวาง},"เขตสาทร,ฝ่ายเทศกิจ เขตสาทร","เรียนท่านผู้ว่าก.ท.ม
ตรงปากซอยจันทร์18/8มีรถจักรยานยนต์ขี่จอดบนทางเท้าทะเบียนรถ5กศกรุงเทพมหานคร7306ช่วงเวลา20:00น.วันที่25/2/67เขตสาทร",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-02/0a02d915f97f80652b4bf5fd0a29bc672e6e61b8.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-02/1709004624031.jpeg,"100.52681,13.70617",1643/18 ถนนจันทน์ แขวง ทุ่งวัดดอน เขต สาทร กรุงเทพมหานคร 10120 ประเทศไทย,ยานนาวา,สาทร,กรุงเทพมหานคร,2024-02-25 13:21:02.312419+00,เสร็จสิ้น,,0,2024-02-27 03:30:25.49398+00
2024-KF8XPR,{},"เขตวัฒนา,ฝ่ายโยธา เขตวัฒนา","มีหลุมที่ซอยสุขุมวิท 25 ครับ
ในซอยมีเด็กญี่ปุ่นวิ่งเล่นตลอด กลัวขาจะเข้าไปติดครับ",https://storage.googleapis.com/traffy_public_bucket/attachment/2024-12/0c90b6ebb17e0a48ec698eb3d6a1f5484240bebd.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-12/3adbfa8b7f26c84a1b28db450ee30c46.png,"100.56358,13.73601",7 ถ. สุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,2024-12-27 05:06:31.410068+00,เสร็จสิ้น,5.0,0,2024-12-27 11:25:48.699461+00
2023-NDRR2M,"{เสียงรบกวน,ร้องเรียน}","เขตบึงกุ่ม,ฝ่ายเทศกิจ เขตบึงกุ่ม",เหตุเดือดร้อนรำคาญจากข้างบ้านเสียงดังยามวิกาล และยามกลางวัน เป็นแหล่งซ่องสุมของเยาวชน ดูดบุหรี่,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/75acb3becd86f6dcd41e8da7254e956ae3b58ded.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/1699842242370.jpeg,"100.64682,13.79928",10 140 ซอย นวมินทร์ 93 แขวงนวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10240 ประเทศไทย,นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,2023-11-11 19:58:57.337297+00,เสร็จสิ้น,,0,2023-11-13 02:24:04.024807+00
2022-HTU4FZ,{สะพาน},"เขตวัฒนา,สำนักการโยธา กทม.,ฝ่ายโยธา เขตวัฒนา,ผอ.เขตวัฒนา (น.ส.สุชิรา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร),สำนักงานก่อสร้างและบูรณะ สำนักการโยธา (สกบ.สนย.) กทม.,ศูนย์เครื่องมือกล ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.)",ไฟตรงสะพานขาเข้าเพชรบุรี เข้าเอกมัยไม่สว่าง,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/4bcf8dd8c6fea5e0ea853cbfd8fd26f80b1814fa.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-02/1676356823553.jpeg,"100.59084,13.74179",ซอย เอกมัย 30 แยก 1 สุขุมวิท ซ. 63 แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-06-27 12:33:52.142886+00,เสร็จสิ้น,5.0,0,2023-02-14 06:40:24.929046+00
2023-BMA8RK,"{ถนน,PM2.5}",เขตวังทองหลาง,"ผู้รับเหมาทำการรื้อถอนเสาประตูหน้าบ้าน โดยการสะกัดปูน แต่ไม่มีอุปกรณ์Protection ทำให้เศษปูน และฝุ่นกระเด็นมาเข้าตาผู้สัญจรผ่านไป-มา

โดยถนนเส้นนี้อยู่ซอยลาดพร้าว81 ทะลุไปเส้นเลียบด่วนรามอินทราได้
ทำให้มีประชาชนใช้ถนนกันค่อนข้างเยอะ 

แต่ผู้รับเหมากลับไม่มีอุปกรณ์ Protection ใดๆเลย",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-08/ff02934e1aa51581061858f12de06eeb5f96f436.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-08/1692343092920.jpeg,"100.61218,13.78791",116/1 ซอย ลาดพร้าว 81 แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310 ประเทศไทย,คลองเจ้าคุณสิงห์,วังทองหลาง,กรุงเทพมหานคร,2023-08-12 08:15:29.301289+00,เสร็จสิ้น,5.0,0,2023-08-18 07:18:14.314023+00
