ticket_id,std_type,type,type_list,organization,comment,comment_length,photo,photo_after,lng,lat,subdistrict,district,province,province_clean,timestamp,last_activity,state,star,count_reopen,year
HZP6UF,cleaning,"{ความสะอาด,ถนน}","['ความสะอาด', 'ถนน']","เขตมีนบุรี,เขตคลองสามวา,ฝ่ายเทศกิจ เขตคลองสามวา","ปัญหา: ภายในซอยดังกล่าว พบการเผาขยะ ทำให้เกิดควันฟุ้งกระจายไปทั่วบริเวณ และส่งกลิ่นเหม็นรบกวน มีการเผาตลอดทั้งวัน พบเห็นมาประมาณ 2-3 เดือนแล้ว จุดนี้มีการเผาเป็นประจำทุกปี 
ซอย: นิมิตใหม่ 10
ถนน: นิมิตใหม่ 
จุดสังเกต: เข้าซอยประมาณ 200 เมตร ใกล้กับอู่รณชัย
เขต: มีนบุรี
#1555",276,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-02/1709034580868.jpeg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-02/1709096923341.jpeg,100.73874,13.83395,มีนบุรี,มีนบุรี,จังหวัดกรุงเทพมหานคร,กรุงเทพมหานคร,2024-02-27 11:49:43.502298+00:00,2024-02-28 05:08:54.727241+00:00,เสร็จสิ้น,,0,2024
2024-DVVEDY,safety,"{ต้นไม้,สัตว์จรจัด}","['ต้นไม้', 'สัตว์จรจัด']","เขตสะพานสูง,ฝ่ายโยธา เขตสะพานสูง",ต้นไม้ใหญ่ล่มกีดขวางถนน บริเวณปากซอยกรุงเทพกรีฑา 17 ตรงข้ามโรงเรียนนานาชาติ กรุงเทพเวลลิงตัน,92,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-10/94f2d7d54af366fc77dd6f134dd989cee5ec399f.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-10/c3a9a02a505262ce3398068aae0d7e42.png,100.67292,13.74354,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-10-03 10:56:27.849162+00:00,2024-10-03 15:07:31.219316+00:00,เสร็จสิ้น,3.0,0,2024
2024-XPDXYA,unknown,{},['unknown'],"1111 ศูนย์รับเรื่องราวร้องทุกข์ของรัฐบาล,เขตดุสิต","ไทยเรามีของดี น่าชม น่าดู มากมายหลายแห่ง

แต่ทำไมไม่เปิดให้เข้าชม พบเห็นหลายวัง หลายบ้าน 

นำเสนอควรเปิดให้ทั้งคนไทยและต่างชาติเข้าชม

ความภูมิใจขิงคนไทย และให้เด็กรุ่นหลังได้รู้ด้วยค่ะ",185,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/a724593236467615699d4e6371ba1f7cdcd63364.jpg,,100.51897,13.75689,สี่แยกมหานาค,ดุสิต,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-03-03 06:53:04.130830+00:00,2024-12-10 14:44:27.422885+00:00,เสร็จสิ้น,4.0,0,2024
MMCKDD,road,{ถนน},['ถนน'],"เขตหลักสี่,ฝ่ายเทศกิจ เขตหลักสี่","ปัญหา: พบวินรถจักรยานยนต์หมายเลข 23 เพศชาย ร่างเล็ก สวมหมวกอิสลาม เลือกรับบริการผู้โดยสาร  ไม่ไปสถานที่ใกล้ๆ  มักจะเลือกไปสถานที่ไกลๆ  มีกิริยาไม่เรียบร้อย  ตั้งวินตั้งแต่เช้าถึงเย็น ทุกวัน
ซอย: แจ้งวัฒนะ 1
ถนน: แจ้งวัฒนะ
จุดสังเกต: บริเวณข้างพลัมคอนโด แจ้งวัฒนะ  เข้าซอยดังกล่าวประมาณ 80 เมตร
เขต: หลักสี่
#1555",313,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-01/1704972975243.jpeg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-01/1705297120479.jpeg,100.58575,13.8798,ตลาดบางเขน,หลักสี่,จังหวัดกรุงเทพมหานคร,กรุงเทพมหานคร,2024-01-11 11:36:16.932460+00:00,2024-01-15 05:38:41.654854+00:00,เสร็จสิ้น,,0,2024
2024-KWWBRB,road,{ทางเท้า},['ทางเท้า'],"เขตบางนา,สำนักการโยธา กทม.,ศูนย์ก่อสร้างและบูรณะถนน 3 ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.)",ฟุตปาธเป็นหลุม,14,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-11/180da787ab0d94af570c554940d6164ea0b861b4.jpg,,100.61731,13.6627,บางนาใต้,บางนา,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-11-20 11:23:55.292672+00:00,2024-12-21 06:03:07.070970+00:00,กำลังดำเนินการ,,0,2024
2024-6Z4DLX,lighting,{สายไฟ},['สายไฟ'],"เขตบางซื่อ,การไฟฟ้านครหลวง เขตสามเสน,สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200),การไฟฟ้านครหลวง MEA",เสาไฟฟ้าหน้าบ้านเป็นปูนหล่อ แต่จะมีไม่ค้ำยื่นมาเพื่อให้สายไฟพาดผ่านไปยังเสาไฟอีกต้นชำรุดครับ เพราะวัสดุที่ใช้คือไม้ และใช้งานมานานมากกว่า40ปี ตอนนี้ใกล้จะพังลงมาแล้วครับ รบกวนหน่อยงานที่เกี่ยวข้องมาตรวจสอบแก้ไขให้หน่อยได้ไหมครับ ขอบคุณครับ,239,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-07/4a7e1aab8dd35d19101856dc13ec5464eef44d2a.jpg,,100.52779,13.80941,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-07-06 14:22:24.313637+00:00,2024-07-07 03:24:17.142475+00:00,กำลังดำเนินการ,,1,2024
2024-A64B7N,road,"{ถนน,จราจร,ความสะอาด,ร้องเรียน}","['ถนน', 'จราจร', 'ความสะอาด', 'ร้องเรียน']","เขตวังทองหลาง,ฝ่ายโยธา เขตวังทองหลาง","แจ้งปัญหา

ขอคัดค้านเรื่อง คนในชุมชน 91 ทำหนังสือยื่นเรื่องต่อ
เจ้าพนักงาน สำนักงานเขตวังทองหลาง กรุงเทพมหานคร 
ให้พิจารณาดำเนินการรื้อถอนกำแพงของหมู่บ้านจักรพงษ์4
เพื่อเปิดทางออกสู่ถนนสาธารณะ 

ด้วยเหตุผลดังนี้
1.พื้นที่ชุมชน 91 มีถนนอยู่ภายในชุมชน91 
เป็นถนนเชื่อมสู่ทางออกสาธารณะผ่านหมู่บ้านโสภณวัฒนา
ซึ่งสามารถแยกเป็นทางออกสาธารณะได้ถึงสองทาง อยู่แล้วในปัจจุบัน
2. คนในชุมชน 91 ที่มีบ้านเรือนติดกับกำแพงนี้
ได้เข้ามาก่อสร้างภายหลังจากกำแพงหมู่บ้านจักรพงษ์4 สร้างเสร็จแล้ว
จึงเป็นเหตุให้รู้มาก่อน ไม่สุจริต 
ไม่มีสิทธิ์รื้อถอนกำแพงออกสู่ทางสาธารณะแต่อย่างใด 
ตามแนวคำพิพากษา ให้เป็นทางจำเป็น ฎีกาที่ 5103 / 2547 
การขอผ่านที่ดินซึ่งล้อมอยู่ไปสู่ทางสาธารณะ
ตามประมวลกฎหมายแพ่งและพาณิชย์มาตรา 1349 วรรคหนึ่ง
กล่าวคือต้องไม่รู้ว่าที่ดินที่ตนได้มาถูกที่ดินแปลงอื่นล้อม
จนไม่มีทางออกสู่ทางสาธารณะมาก่อน
หากรู้มาก่อน ถือว่าไม่สุจริต
ไม่มีสิทธิ์ผ่านที่ดินแปลงที่ล้อม ออกสู่ทางสาธารณะแต่อย่างใด
(เจ้าพนักงาน สำนักงานเขตวังทองหลาง กรุงเทพฯได้รับทราบ ข้อ1 และ 2 แล้ว)

3. ปัจจุบันคนในชุมชน 91 นำรถมาจอดบนถนนสาธารณะ 
จับจองเป็นพื้นที่ของตน แล้วปีนบันไดข้ามกำแพงหมู่บ้านฯ เข้าไปในชุมชน91
นำความเดือดร้อนรำคาญใจแก่ผู้พักอาศัยในหมู่บ้านจักรพงษ์4
โดยเฉพาะผู้พักอาศัยบ้านที่อยู่ด้านเดียวกับกำแพงแห่งนี้ 
อาจจะกระทำความผิดตามกฎหมาย 
พ.ร.บ. รักษาความสะอาดและความเป็นระเบียบเรียบร้อยของบ้านเมืองพ.ศ. 2565
พ.ร.บ. จราจรทางบก พ.ศ. 2522

4.คนในชุมชน 91 ติดป้ายประกาศขายบ้านในชุมชนนี้ เป็นเวลาหลายปีแล้ว
ซึ่งวิญญูชนโดยทั่วไปเมื่อเห็นกำแพงฯด้วยสายตา หากซื้อจับจองเป็นเจ้าของแล้ว
ก็เป็นที่ดินที่ไม่มีทางออกสู่ทางสาธารณะ


ด้วยเหตุทั้งหมดนี้ คนในชุมชน 91 ที่ดำเนินการ 
ทำหนังสือยื่นเรื่องต่อเจ้าพนักงาน สำนักงานเขตวังทองหลาง กรุงเทพมหานคร 
ให้ดำเนินการอย่างใดอย่างหนึ่ง รื้อถอนกำแพงของหมู่บ้านจักรพงษ์4 
เพื่อเปิดทางออกสู่ถนนสาธารณะได้ 

จึงแจ้งขอคัดค้านเพิ่มเติมอีก 
ให้เจ้าพนักงานฯรับทราบและพิจารณา
ตรวจสอบความสุจริตของคนในชุมชน 91 ที่ดำเนินการทำหนังสือยื่นเรื่องฯดังกล่าว
ว่าข้อเท็จจริงเป็นอย่างไร",1876,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-09/f04c6a7496f410cba1478a4e9b9c46915375e4d2.jpg,,100.62252,13.78799,คลองเจ้าคุณสิงห์,วังทองหลาง,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-09-24 03:31:48.571524+00:00,2024-11-05 02:43:03.076661+00:00,กำลังดำเนินการ,,0,2024
2024-H36EBE,road,{ทางเท้า},['ทางเท้า'],"เขตสวนหลวง,ฝ่ายโยธา เขตสวนหลวง",ทางเดินเท้าริมคลอง ชำรุด พื้นผิวต่างระดับกันมากระหว่างแยกรอยต่อ,63,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-06/f2a825108e4c4ba572cb83a568e4de18d9e6b01d.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-07/58064318a6dff6cafc4a05234d4352f6.jpg,100.64118,13.72458,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-06-15 01:58:57.397940+00:00,2024-07-03 06:22:43.721683+00:00,เสร็จสิ้น,5.0,0,2024
2024-LCNZVW,road,"{ทางเท้า,สายไฟ}","['ทางเท้า', 'สายไฟ']","เขตวัฒนา,บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน),สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200)",บนทางเดินมีฐานตู้โทรศัพท์เก่าที่ควรจะกำจัด และสายไฟเกะกะที่ควรจัดการให้สะอาดเรียบร้อย,85,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-04/ed4e3693069d0ef1fd0329fae474f86a7ac17cf1.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-06/e75af11d4d765d9933405be7be2ed127.jpg,100.58082,13.74011,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-04-07 03:17:40.676769+00:00,2024-06-26 09:03:03.851087+00:00,เสร็จสิ้น,3.0,1,2024
2024-BDTQNA,canal,"{คลอง,ถนน,ความปลอดภัย,สายไฟ,สะพาน}","['คลอง', 'ถนน', 'ความปลอดภัย', 'สายไฟ', 'สะพาน']","ส.ส.ธีรัจชัย พันธุมาศ (หนองจอก มีนบุรี ลาดกระบัง),เขตหนองจอก","ถนนเลียบคลองลำมะขามมุ่งหน้า สะพาน ข้ามคลองด้านหลัง วัดทิพพาวาส(หรือมุ่งหน้าคลองลำกอไผ่ ) 
ริมถนนมีต้นไผ่ยอดไผ่ขึ้นสูง ถึงสายไฟและหม้อแปลงไฟฟ้า 
พี่น้องประชาชนเองเป็นอันตรายจึงเรียนขอความกรุณาเจ้าหน้าที่ช่วยตัดแต่งกิ่งไผ่ที่ขึ้นปกคลุมสายไฟไฟฟ้าและหม้อแปลงให้ด้วยครับ 
ตรงเสาไฟฟ้าต้นที่ ง.153",290,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-07/b96237b54865a9f3fb895ca74181338ff8688f6b.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-07/73e1886115ed8d10fe696424cc9742bd.png,100.80607,13.78171,ลำผักชี,หนองจอก,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-07-03 07:38:53.634526+00:00,2024-07-05 07:02:00.862887+00:00,เสร็จสิ้น,5.0,0,2024
DTK68A,road,{ถนน},['ถนน'],"เขตสะพานสูง,ฝ่ายสิ่งแวดล้อมฯ เขตสะพานสูง","ปัญหา: พบโชว์รูมรถยนต์ บริษัท สุขาภิบาล3 ฮอนด้าออโตโมบิล ด้านหลังของโชว์รูมรถ มีลักษณะเป็นโรงงานชำแหละรถยนต์ เคาะพ่นสี อบสี เจียรเหล็ก ส่งผลให้เกิดกลิ่นเหม็นของสีรบกวน ผู้ร้องและผู้อยู่อาศัยบริเวณใกล้เคียงดังกล่าว ซึ่งกลิ่นเหม็นของสีจะเกิดขึ้นเป็นเวลา 2-3 รอบต่อวัน ขอให้เจ้าหน้าที่ที่เกี่ยวข้องตรวจสอบการดำเนินการของโชว์รูมรถยนต์ ว่าดำเนินการถูกต้องตามกฎระเบียบหรือไม่
ซอย: รามคำแหง 155/3 
ถนน: รามคำแหง
จุดสังเกต: อยู่ตรงข้ามเยื้องกับ โรงเรียนเตรียมอุดมศึกษาน้อมเกล้า
เขต: สะพานสูง
#1555",490,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-08/89af30e56e1de1cec69f58a7eceeed04.jpg,,100.69114,13.7872,สะพานสูง,สะพานสูง,จังหวัดกรุงเทพมหานคร,กรุงเทพมหานคร,2024-08-07 12:34:13.465357+00:00,2024-08-19 09:05:48.365970+00:00,กำลังดำเนินการ,,0,2024
2025-3TTTYN,road,{ถนน},['ถนน'],"เขตจอมทอง,สน.บางขุนเทียน,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 9 (บก.น.9),กองบังคับการตำรวจจราจร (บก.จร.)",ทำสวนสวนแต่ไม่มีที่จอด ถนน 2 เลนรถต้องเลียดมอเตอร์ไซที่จอดริมถนน ช่วยจัดระเบียบด้วยครับ,87,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-01/8ece986c41eeaceaa3ea86da8ba3910bb8b076df.jpg,,100.47584,13.69644,บางค้อ,จอมทอง,กรุงเทพมหานคร,กรุงเทพมหานคร,2025-01-07 00:05:56.668489+00:00,2025-01-07 04:39:04.790192+00:00,กำลังดำเนินการ,,0,2025
2024-HRGMAG,noise,{เสียงรบกวน},['เสียงรบกวน'],"เขตสาทร,ฝ่ายโยธา เขตสาทร",พบไซต์ก่อสร้างอาคาร บริเวณซอยเกอเธ่ ทำงานในวันอาทิตย์ และยังมีงานเสียงดังตั้งแต่ 7โมงเช้า,89,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-10/c6a9d5743e94e26e746fba54aa2775bf18de92c1.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-10/10b802997b6a2721f5cc7254892119c2.png,100.54575,13.72404,ทุ่งมหาเมฆ,สาทร,กรุงเทพมหานคร,กรุงเทพมหานคร,2024-10-20 02:34:48.882289+00:00,2024-10-22 02:52:39.114661+00:00,เสร็จสิ้น,5.0,0,2024
2025-GBPDBM,canal,"{คลอง,ทางเท้า}","['คลอง', 'ทางเท้า']","เขตวังทองหลาง,ฝ่ายโยธา เขตวังทองหลาง",ทางเดินเลียบคลองจั่น ฝั่งต.อ  ไปสุดคลองแสนแสบ ผ่านทางเข้าม.อารียา (ฝั่งเขตวังทองหลาง)  แต่ม.อารียาปิดประตูเหล็กกั้นล็อคเดินผ่านทางสาธารณะริมคลองไปสุดคลองแสนแสบไม่ได้ ให้ดำเนินการแก้ไขให้เปิดทางให้ด้วย,200,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-01/e84adcc2872ec1ec24dc3b66c197eb37f67940cc.jpg,,100.62985,13.7669,พลับพลา,วังทองหลาง,กรุงเทพมหานคร,กรุงเทพมหานคร,2025-01-14 02:29:00.709825+00:00,2025-01-14 05:16:41.174338+00:00,กำลังดำเนินการ,,0,2025
